Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SUI,"Sun Communities, Inc.",120.28,-3.7529007,-4.69,Strong Sell,682379,82076546.12,14833383656,45.80675904,2.734,5961,Finance
GPMT,Granite Point Mortgage Trust Inc.,6.56,-2.23546945,-0.15,Sell,679463,4457277.28,343422468,45.77080491,0.1615,33,Finance
EPRT,"Essential Properties Realty Trust, Inc.",19.18,-2.93522267,-0.58,Sell,668464,12821139.52,2719263425,20.82411213,0.9519,37,Finance
EXR,Extra Space Storage Inc,160.81,-3.58534684,-5.98,Strong Sell,658252,105853504.12,21534393713,25.12465165,6.6495,4309,Finance
UE,Urban Edge Properties,13.35,-2.12609971,-0.29,Sell,657023,8771257.05,1567860948,17.50738031,0.7793,116,Finance
XHR,"Xenia Hotels & Resorts, Inc.",15.04,-0.39735099,-0.06,Neutral,624681,9395202.24,1719873199,,-0.2013,34,Finance
BRSP,"BrightSpire Capital, Inc.",6.79,-1.5942029,-0.11,Sell,623088,4230767.52,875671906,12.37668161,0.5628,55,Finance
CPT,Camden Property Trust,110.68,-3.26020453,-3.73,Strong Sell,608665,67367042.2,11790527503,15.02804377,7.6757,1700,Finance
CTRE,"CareTrust REIT, Inc.",16.64,-0.95238095,-0.16,Sell,586481,9759043.84,1614558173,229.82216142,0.0737,16,Finance
FRT,Federal Realty Investment Trust,89.17,-1.81678044,-1.65,Sell,577950,51535801.5,7272742579,26.26753435,3.4779,315,Finance
LAMR,Lamar Advertising Company,84.12,-1.10510228,-0.94,Sell,568484,47820874.08000001,8541091017.000001,18.93167149,4.5019,3350,Finance
SAFE,Safehold Inc.,24.91,-2.54303599,-0.65,Sell,558985,13924316.35,1549089000,16.52123328,1.5473,,Finance
LSI,"Life Storage, Inc.",100.55,-2.86901082,-2.97,Strong Sell,558066,56113536.3,8589607672,27.5583005,3.7654,2241,Finance
INN,"Summit Hotel Properties, Inc.",7.14,-0.97087379,-0.07,Neutral,554458,3958830.12,877423350,,-0.2935,63,Finance
SRC,"Spirit Realty Capital, Inc.",35.29,-2.02665186,-0.73,Strong Sell,526842,18592254.18,4811498367,21.64663462,1.6681,84,Finance
CXW,"CoreCivic, Inc.",9.4,-1.77638454,-0.17,Sell,525536,4940038.4,1105622602,13.27875676,0.7275,10348,Finance
AKR,Acadia Realty Trust,12.77,-1.99539524,-0.26,Sell,520864,6651433.28,1212277484,39.00029931,0.3342,123,Finance
EFC,Ellington Financial Inc.,11.74,-1.42737196,-0.17,Sell,516859,6067924.66,703904311,,-0.2242,170,Finance
KREF,KKR Real Estate Finance Trust Inc.,16.95,-3.14285714,-0.55,Sell,514400,8719080,1173833073,9.33134265,1.9231,,Finance
NSA,National Storage Affiliates Trust,39.2,-2.48756219,-1,Sell,513037,20111050.4,5062594576,40.6676783,1.036,2125,Finance
OPI,Office Properties Income Trust,14.08,1.36789057,0.19,Sell,511329,7199512.32,682247443,,-0.1824,,Finance
LADR,Ladder Capital Corp,9.46,-2.77492292,-0.27,Sell,508545,4810835.7,1199815864,12.14579953,0.8068,65,Finance
ESS,"Essex Property Trust, Inc.",222.62,-2.87085515,-6.58,Strong Sell,505768,112594072.16,14497984512,38.79945153,5.9169,1757,Finance
EQIX,"Equinix, Inc.",505.39,-3.27649232,-17.12,Sell,495135,250236277.65,46028490437,74.33949379,7.0607,10944,Technology Services
